NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"Fremont County, Colorado",61027,9.2,4.4,49394,44.9,7917,3.5,41.9
"Garfield County, Colorado",86172,7.0,3.6,62034,37.2,15464,24.4,48.6
"Gilpin County, Colorado",88654,4.7,3.0,5877,48.7,924,4.3,45.2
"Grand County, Colorado",84558,2.2,4.4,15794,45.5,2540,6.2,48.8
"Gunnison County, Colorado",77358,4.7,3.7,17158,37.0,2692,6.7,45.2
"Hinsdale County, Colorado",64327,0.0,1.5,939,54.8,128,2.0,50.5
"Huerfano County, Colorado",52139,11.5,11.1,6946,55.1,1112,14.5,46.5
"Jackson County, Colorado",41809,14.8,9.5,1422,51.5,271,12.0,45.9
"Jefferson County, Colorado",107800,3.7,3.9,579715,40.4,109290,10.9,49.7
"Kiowa County, Colorado",56389,7.6,0.0,1356,43.9,301,7.6,52.7
"Kit Carson County, Colorado",59810,7.0,2.8,7015,39.0,1816,18.3,49.4
"Lake County, Colorado",93655,5.6,2.3,7411,36.9,1431,25.5,49.1
"La Plata County, Colorado",85296,8.0,3.1,56088,42.3,10054,6.0,49.4
"Larimer County, Colorado",91364,4.6,4.5,363561,36.6,67996,9.0,50.0
"Las Animas County, Colorado",50408,10.8,5.6,14392,46.5,2628,20.4,47.3
"Lincoln County, Colorado",54257,3.2,1.8,5561,40.7,982,3.0,41.0
"Logan County, Colorado",55074,9.1,5.6,21067,39.1,3849,13.3,45.7
"Mesa County, Colorado",71485,7.3,5.1,157316,40.8,32807,9.4,50.4
"Mineral County, Colorado",52455,4.0,7.5,799,53.7,100,0.8,49.2
"Moffat County, Colorado",70975,10.8,4.0,13258,37.9,3342,11.1,49.1
"Montezuma County, Colorado",63005,6.8,4.5,26204,44.5,5489,7.0,49.9
"Montrose County, Colorado",66072,8.2,4.2,43272,45.7,8864,16.9,50.1
"Morgan County, Colorado",75407,9.8,4.2,29186,36.9,7638,29.4,48.4
"Otero County, Colorado",54897,15.6,4.6,18460,40.9,4315,34.7,50.3
"Ouray County, Colorado",84556,3.2,3.2,5024,55.6,633,2.7,48.2
"Park County, Colorado",95450,3.5,3.5,17739,51.7,2605,4.6,47.4
"Phillips County, Colorado",60372,15.9,0.8,4491,40.3,1168,24.6,51.9
"Pitkin County, Colorado",100318,3.2,1.5,17119,47.3,2560,4.2,48.2
"Prowers County, Colorado",57601,9.8,4.8,11931,38.5,3070,33.1,49.9
"Pueblo County, Colorado",62250,11.6,5.4,168726,40.4,37145,25.8,50.4
"Rio Blanco County, Colorado",72620,7.2,4.3,6518,39.1,1594,5.8,47.4
"Rio Grande County, Colorado",62166,10.1,8.0,11394,43.2,2323,21.5,49.4
"Routt County, Colorado",104803,3.8,2.5,24990,42.6,4380,5.0,47.6
"Saguache County, Colorado",54283,14.9,7.9,6511,49.8,1207,19.6,48.8
"San Juan County, Colorado",73889,14.4,6.7,690,42.2,78,12.3,45.2
"San Miguel County, Colorado",80117,3.2,4.1,8026,42.7,1284,8.5,42.8
"Sedgwick County, Colorado",52833,14.1,2.3,2346,42.9,513,14.5,49.3
"Summit County, Colorado",106255,3.4,3.3,30857,39.2,5064,11.0,45.2
"Teller County, Colorado",80666,3.5,3.4,24774,52.0,3970,4.0,48.9
"Washington County, Colorado",65164,4.9,3.4,4839,41.2,1078,9.9,47.6
"Weld County, Colorado",93287,6.0,4.7,340711,35.2,87535,24.6,49.2
"Yuma County, Colorado",60051,11.1,5.2,9921,39.6,2723,26.7,49.0
"Capitol Planning Region, Connecticut",91541,6.9,5.3,969029,40.2,197922,1.0,51.0
"Greater Bridgeport Planning Region, Connecticut",87135,9.8,7.4,326296,40.0,72652,2.8,51.0
"Lower Connecticut River Valley Planning Region, Connecticut",101117,3.7,3.9,174983,45.8,29746,0.7,50.7
"Naugatuck Valley Planning Region, Connecticut",86365,7.4,6.1,452303,41.9,92290,1.0,51.1
"Northeastern Connecticut Planning Region, Connecticut",87564,5.4,6.2,95829,43.9,17836,0.6,50.1
"Northwest Hills Planning Region, Connecticut",91035,5.9,5.4,112848,47.1,20400,1.3,50.0
"South Central Connecticut Planning Region, Connecticut",86266,7.3,5.9,566803,40.2,112160,3.0,51.7
"Southeastern Connecticut Planning Region, Connecticut",84185,7.8,5.1,279025,41.0,54621,2.2,49.9
